Period,Age Group,Gender,Category Combo,Location,Value
"2016","","","<6mo.","Buganda",97
"2016","","","<6mo.","Buganda",4.8
"2024","","","","Uganda",52
"2024","","","","Uganda",25
"2024","","","","Acholi",95
"2024","","","","Acholi",95
"2024","","","","Ankole",28
"2024","","","","Ankole",93
"2024","","","","Bugisu",75
"2024","","","","Bugisu",46
"2024","","","","Bukedi",95
"2024","","","","Bukedi",29
"2024","","","","Bunyoro",3
"2024","","","","Bunyoro",89
"2024","","","","Busoga",43
"2024","","","","Busoga",53
"2024","","","","Karamoja",68
"2024","","","","Karamoja",28
"2024","","","","Kigezi",97
"2024","","","","Kigezi",4
"2024","","","","Lango",47
"2024","","","","Lango",86
"2024","","","","Teso",4
"2024","","","","Teso",4
"2024","","","","Tooro",55
"2024","","","","Tooro",70
"2024","","","","West Nile",96
"2024","","","","West Nile",96
"2023","","","","Uganda",3
"2023","","","","Uganda",84
"2023","","","","Acholi",89
"2023","","","","Acholi",78
"2023","","","","Ankole",90
"2023","","","","Ankole",55
"2023","","","","Bugisu",5
"2023","","","","Bugisu",76
"2023","","","","Bukedi",90
"2023","","","","Bukedi",90
"2023","","","","Bunyoro",97
"2023","","","","Bunyoro",97
"2023","","","","Busoga",5
"2023","","","","Busoga",19
"2023","","","","Karamoja",79
"2023","","","","Karamoja",94
"2023","","","","Kigezi",92
"2023","","","","Kigezi",3
"2023","","","","Lango",84
"2023","","","","Lango",90
"2023","","","","Teso",5
"2023","","","","Teso",76
"2023","","","","Tooro",30.4
"2023","","","","Tooro",18.8
"2023","","","","West Nile",7.6
"2023","","","","West Nile",17.7
"2022","","","","Uganda",45
"2022","","","","Uganda",22
"2022","","","","Acholi",68
"2022","","","","Acholi",28
"2022","","","","Ankole",58
"2022","","","","Ankole",53
"2022","","","","Bugisu",5.7
"2022","","","","Bugisu",6.5
"2022","","","","Bukedi",51
"2022","","","","Bukedi",68
"2022","","","","Bunyoro",83
"2022","","","","Bunyoro",67
"2022","","","","Busoga",84.6
"2022","","","","Busoga",6.3
"2022","","","","Karamoja",2.7
"2022","","","","Karamoja",95.3
"2022","","","","Kigezi",70
"2022","","","","Kigezi",89
"2022","","","","Lango",75
"2022","","","","Lango",46
"2022","","","","Teso",98
"2022","","","","Teso",94
"2022","","","","Tooro",24
"2022","","","","Tooro",82
"2022","","","","West Nile",5
"2022","","","","West Nile",5
"2021","","","","Uganda",97
"2021","","","","Uganda",97
"2021","","","","Acholi",84
"2021","","","","Acholi",52
"2021","","","","Ankole",79
"2021","","","","Ankole",75
"2021","","","","Bugisu",20
"2021","","","","Bugisu",67
"2021","","","","Bukedi",5
"2021","","","","Bukedi",17
"2021","","","","Bunyoro",26
"2021","","","","Bunyoro",66
"2021","","","","Busoga",41.9
"2021","","","","Busoga",7
"2021","","","","Karamoja",8.3
"2021","","","","Karamoja",31.1
"2021","","","","Kigezi",63
"2021","","","","Kigezi",4
"2021","","","","Lango",3
"2021","","","","Lango",96
"2021","","","","Teso",88
"2021","","","","Teso",55
"2021","","","","Tooro",1.7
"2021","","","","Tooro",80.9
"2021","","","","West Nile",84.6
"2021","","","","West Nile",8.3
"2020","","","","Uganda",3.5
"2020","","","","Uganda",4.6
"2020","","","","Acholi",10.4
"2020","","","","Acholi",6.3
"2020","","","","Ankole",79
"2020","","","","Ankole",73
"2020","","","","Bugisu",77
"2020","","","","Bugisu",48
"2020","","","","Bukedi",26.3
"2020","","","","Bukedi",52.1
"2020","","","","Bunyoro",81
"2020","","","","Bunyoro",70
"2020","","","","Busoga",11
"2020","","","","Busoga",85
"2020","","","","Karamoja",74
"2020","","","","Karamoja",68
"2020","","","","Kigezi",89
"2020","","","","Kigezi",58
"2020","","","","Lango",4.8
"2020","","","","Lango",6.5
"2020","","","","Teso",96.6
"2020","","","","Teso",92.9
"2020","","","","Tooro",4.6
"2020","","","","Tooro",1
"2020","","","","West Nile",90.3
"2020","","","","West Nile",8.1
"2019","","","","Uganda",74
"2019","","","","Uganda",46
"2019","","","","Acholi",43
"2019","","","","Acholi",88
"2019","","","","Ankole",89
"2019","","","","Ankole",3
"2019","","","","Bugisu",68
"2019","","","","Bugisu",75
"2019","","","","Bukedi",88
"2019","","","","Bukedi",34
"2019","","","","Bunyoro",94
"2019","","","","Bunyoro",5
"2019","","","","Busoga",98
"2019","","","","Busoga",98
"2019","","","","Karamoja",52
"2019","","","","Karamoja",24
"2019","","","","Kigezi",90
"2019","","","","Kigezi",90
"2019","","","","Lango",21
"2019","","","","Lango",80
"2019","","","","Teso",44
"2019","","","","Teso",44
"2019","","","","Tooro",85
"2019","","","","Tooro",75
"2019","","","","West Nile",5
"2019","","","","West Nile",86
"2018","","","","Uganda",30
"2018","","","","Uganda",5
"2018","","","","Acholi",65
"2018","","","","Acholi",70
"2018","","","","Ankole",30.4
"2018","","","","Ankole",18.8
"2018","","","","Bugisu",28
"2018","","","","Bugisu",50
"2018","","","","Bukedi",54
"2018","","","","Bukedi",74
"2018","","","","Bunyoro",69
"2018","","","","Bunyoro",49
"2018","","","","Busoga",70
"2018","","","","Busoga",97
"2018","","","","Karamoja",89
"2018","","","","Karamoja",76
"2018","","","","Kigezi",72.4
"2018","","","","Kigezi",7.6
"2018","","","","Lango",8.8
"2018","","","","Lango",49
"2018","","","","Teso",42
"2018","","","","Teso",45
"2022","","","<6mo.","Uganda",92
"2016","","","<6mo.","Busoga",89.8
"2016","","","<6mo.","Bukedi",95.3
"2016","","","<6mo.","Teso",55
"2016","","","<6mo.","Uganda",96
"2016","","","<6mo.","Kampala",3.5
